Order_ID,Product,Quantity_Ordered,Price_Each,Order_Date,Purchase_Address,order_datetime,revenue
176558,"USB-C Charging Cable",2,11.95,"04/19/19 08:46","917 1st St, Dallas, TX 75001",NULL,23.90
176559,"Bose SoundSport Headphones",1,99.99,"04-07-2019 22:30","682 Chestnut St, Boston, MA 02215",NULL,99.99
176560,"Google Phone",1,600,"04-12-2019 14:38","669 Spruce St, Los Angeles, CA 90001",NULL,600.00
176560,"Wired Headphones",1,11.99,"04-12-2019 14:38","669 Spruce St, Los Angeles, CA 90001",NULL,11.99
176561,"Wired Headphones",1,11.99,"04/30/19 09:27","333 8th St, Los Angeles, CA 90001",NULL,11.99
176562,"USB-C Charging Cable",1,11.95,"04/29/19 13:03","381 Wilson St, San Francisco, CA 94016",NULL,11.95
176563,"Bose SoundSport Headphones",1,99.99,"04-02-2019 07:46","668 Center St, Seattle, WA 98101",NULL,99.99
176564,"USB-C Charging Cable",1,11.95,"04-12-2019 10:58","790 Ridge St, Atlanta, GA 30301",NULL,11.95
176565,"Macbook Pro Laptop",1,1700,"04/24/19 10:38","915 Willow St, San Francisco, CA 94016",NULL,1700.00
176566,"Wired Headphones",1,11.99,"04-08-2019 14:05","83 7th St, Boston, MA 02215",NULL,11.99
176567,"Google Phone",1,600,"04/18/19 17:18","444 7th St, Los Angeles, CA 90001",NULL,600.00
176568,"Lightning Charging Cable",1,14.95,"04/15/19 12:18","438 Elm St, Seattle, WA 98101",NULL,14.95
176569,"27in 4K Gaming Monitor",1,389.99,"04/16/19 19:23","657 Hill St, Dallas, TX 75001",NULL,389.99
176570,"AA Batteries (4-pack)",1,3.84,"04/22/19 15:09","186 12th St, Dallas, TX 75001",NULL,3.84
176571,"Lightning Charging Cable",1,14.95,"04/19/19 14:29","253 Johnson St, Atlanta, GA 30301",NULL,14.95
176572,"Apple Airpods Headphones",1,150,"04-04-2019 20:30","149 Dogwood St, New York City, NY 10001",NULL,150.00
176573,"USB-C Charging Cable",1,11.95,"04/27/19 18:41","214 Chestnut St, San Francisco, CA 94016",NULL,11.95
176574,"Google Phone",1,600,"04-03-2019 19:42","20 Hill St, Los Angeles, CA 90001",NULL,600.00
176574,"USB-C Charging Cable",1,11.95,"04-03-2019 19:42","20 Hill St, Los Angeles, CA 90001",NULL,11.95
176575,"AAA Batteries (4-pack)",1,2.99,"04/27/19 00:30","433 Hill St, New York City, NY 10001",NULL,2.99
176576,"Apple Airpods Headphones",1,150,"04/28/19 11:42","771 Ridge St, Los Angeles, CA 90001",NULL,150.00
176577,"Apple Airpods Headphones",1,150,"04-04-2019 19:25","260 Spruce St, Dallas, TX 75001",NULL,150.00
176578,"Apple Airpods Headphones",1,150,"04-09-2019 23:35","513 Church St, Boston, MA 02215",NULL,150.00
176579,"AA Batteries (4-pack)",1,3.84,"04-11-2019 10:23","886 Jefferson St, New York City, NY 10001",NULL,3.84
176580,"USB-C Charging Cable",1,11.95,"04-05-2019 00:35","886 Willow St, Los Angeles, CA 90001",NULL,11.95
176581,iPhone,1,700,"04-09-2019 21:38","84 Jackson St, Boston, MA 02215",NULL,700.00
176582,"Bose SoundSport Headphones",1,99.99,"04/27/19 12:20","178 Lincoln St, Atlanta, GA 30301",NULL,99.99
176583,"AAA Batteries (4-pack)",2,2.99,"04/20/19 12:00","146 Jackson St, Portland, OR 97035",NULL,5.98
176584,"Flatscreen TV",1,300,"04/24/19 20:39","936 Church St, San Francisco, CA 94016",NULL,300.00
176585,"Bose SoundSport Headphones",1,99.99,"04-07-2019 11:31","823 Highland St, Boston, MA 02215",NULL,99.99
176585,"Bose SoundSport Headphones",1,99.99,"04-07-2019 11:31","823 Highland St, Boston, MA 02215",NULL,99.99
176586,"AAA Batteries (4-pack)",2,2.99,"04-10-2019 17:00","365 Center St, San Francisco, CA 94016",NULL,5.98
176586,"Google Phone",1,600,"04-10-2019 17:00","365 Center St, San Francisco, CA 94016",NULL,600.00
176587,"27in FHD Monitor",1,149.99,"04/29/19 19:38","557 5th St, Los Angeles, CA 90001",NULL,149.99
176588,"20in Monitor",1,109.99,"04-02-2019 04:00","765 Cherry St, Seattle, WA 98101",NULL,109.99
176589,"Lightning Charging Cable",1,14.95,"04-04-2019 12:23","846 Highland St, Atlanta, GA 30301",NULL,14.95
176590,"Google Phone",1,600,"04-11-2019 11:46","873 6th St, New York City, NY 10001",NULL,600.00
176591,"Apple Airpods Headphones",1,150,"04/21/19 07:21","600 Maple St, Austin, TX 73301",NULL,150.00
176592,"USB-C Charging Cable",1,11.95,"04/27/19 13:04","352 4th St, Los Angeles, CA 90001",NULL,11.95
176593,"Lightning Charging Cable",2,14.95,"04/15/19 13:45","906 7th St, Portland, OR 97035",NULL,29.90
176594,"Wired Headphones",1,11.99,"04/17/19 23:04","63 Maple St, San Francisco, CA 94016",NULL,11.99
176595,"Wired Headphones",3,11.99,"04-02-2019 09:11","383 6th St, Los Angeles, CA 90001",NULL,35.97
176596,"Apple Airpods Headphones",1,150,"04/27/19 20:11","572 Meadow St, Dallas, TX 75001",NULL,150.00
176597,"USB-C Charging Cable",1,11.95,"04/19/19 13:39","681 11th St, San Francisco, CA 94016",NULL,11.95
176598,"AAA Batteries (4-pack)",2,2.99,"04/21/19 20:33","294 Park St, San Francisco, CA 94016",NULL,5.98
176599,"Lightning Charging Cable",1,14.95,"04-11-2019 15:25","279 Maple St, New York City, NY 10001",NULL,14.95
176600,"27in 4K Gaming Monitor",1,389.99,"04/30/19 15:54","87 West St, Boston, MA 02215",NULL,389.99
176601,"USB-C Charging Cable",1,11.95,"04-02-2019 22:32","754 10th St, Los Angeles, CA 90001",NULL,11.95
176602,"Lightning Charging Cable",1,14.95,"04/30/19 09:39","9 Jefferson St, Dallas, TX 75001",NULL,14.95
176603,"USB-C Charging Cable",1,11.95,"04-01-2019 07:46","858 6th St, San Francisco, CA 94016",NULL,11.95
176604,"USB-C Charging Cable",1,11.95,"04-02-2019 10:57","462 11th St, San Francisco, CA 94016",NULL,11.95
176605,"USB-C Charging Cable",1,11.95,"04/15/19 16:29","717 Pine St, San Francisco, CA 94016",NULL,11.95
176606,"LG Dryer",1,600,"04/21/19 14:16","487 Maple St, San Francisco, CA 94016",NULL,600.00
176607,"AAA Batteries (4-pack)",2,2.99,"04/18/19 12:11","689 10th St, Boston, MA 02215",NULL,5.98
176608,iPhone,1,700,"04-11-2019 12:01","15 Cherry St, San Francisco, CA 94016",NULL,700.00
176609,"Apple Airpods Headphones",1,150,"04-11-2019 16:59","267 11th St, Austin, TX 73301",NULL,150.00
176610,"AAA Batteries (4-pack)",1,2.99,"04/26/19 00:40","382 River St, Dallas, TX 75001",NULL,2.99
176611,"Bose SoundSport Headphones",1,99.99,"04/30/19 13:16","971 Sunset St, San Francisco, CA 94016",NULL,99.99
176612,"Apple Airpods Headphones",1,150,"04-04-2019 19:48","149 North St, Seattle, WA 98101",NULL,150.00
176613,"USB-C Charging Cable",2,11.95,"04/26/19 18:58","405 4th St, New York City, NY 10001",NULL,23.90
176614,"AA Batteries (4-pack)",1,3.84,"04-07-2019 21:01","647 Jackson St, San Francisco, CA 94016",NULL,3.84
176615,"Lightning Charging Cable",1,14.95,"04/30/19 10:35","833 River St, Dallas, TX 75001",NULL,14.95
176616,"USB-C Charging Cable",1,11.95,"04-05-2019 20:40","380 Washington St, San Francisco, CA 94016",NULL,11.95
176617,"Apple Airpods Headphones",1,150,"04/25/19 08:03","319 8th St, Portland, OR 97035",NULL,150.00
176618,"Lightning Charging Cable",2,14.95,"04/18/19 21:44","273 South St, San Francisco, CA 94016",NULL,29.90
176619,"Flatscreen TV",1,300,"04/16/19 18:37","116 North St, Los Angeles, CA 90001",NULL,300.00
176620,"USB-C Charging Cable",1,11.95,"04/17/19 10:39","994 Pine St, Los Angeles, CA 90001",NULL,11.95
176621,"Lightning Charging Cable",1,14.95,"04-11-2019 16:09","863 8th St, Boston, MA 02215",NULL,14.95
176622,"AA Batteries (4-pack)",1,3.84,"04-11-2019 20:16","983 11th St, San Francisco, CA 94016",NULL,3.84
176623,"27in FHD Monitor",1,149.99,"04/20/19 23:51","807 12th St, Atlanta, GA 30301",NULL,149.99
176624,"AA Batteries (4-pack)",1,3.84,"04/28/19 10:44","664 Church St, Seattle, WA 98101",NULL,3.84
176625,"AAA Batteries (4-pack)",2,2.99,"04/24/19 19:00","858 5th St, San Francisco, CA 94016",NULL,5.98
176626,"Bose SoundSport Headphones",1,99.99,"04-01-2019 21:40","491 Chestnut St, Boston, MA 02215",NULL,99.99
176627,"Wired Headphones",1,11.99,"04/21/19 14:57","994 13th St, Atlanta, GA 30301",NULL,11.99
176628,"Lightning Charging Cable",2,14.95,"04/15/19 04:03","628 Wilson St, Dallas, TX 75001",NULL,29.90
176629,"USB-C Charging Cable",1,11.95,"04/24/19 11:56","101 Lincoln St, San Francisco, CA 94016",NULL,11.95
176630,"Google Phone",1,600,"04-10-2019 05:01","770 Maple St, San Francisco, CA 94016",NULL,600.00
176631,"USB-C Charging Cable",1,11.95,"04/13/19 18:48","292 Dogwood St, San Francisco, CA 94016",NULL,11.95
176632,"AAA Batteries (4-pack)",1,2.99,"04/14/19 14:28","814 Madison St, San Francisco, CA 94016",NULL,2.99
176633,"ThinkPad Laptop",1,999.99,"04/23/19 14:03","863 Hickory St, Los Angeles, CA 90001",NULL,999.99
176634,"Lightning Charging Cable",1,14.95,"04-10-2019 08:00","311 Madison St, Atlanta, GA 30301",NULL,14.95
176635,"Vareebadd Phone",1,400,"04/26/19 09:55","85 North St, San Francisco, CA 94016",NULL,400.00
176636,"AA Batteries (4-pack)",1,3.84,"04/30/19 20:37","140 10th St, Boston, MA 02215",NULL,3.84
176637,"AAA Batteries (4-pack)",1,2.99,"04/17/19 10:03","261 Sunset St, New York City, NY 10001",NULL,2.99
176638,"USB-C Charging Cable",1,11.95,"04/20/19 08:33","869 Cherry St, Boston, MA 02215",NULL,11.95
176639,"Macbook Pro Laptop",1,1700,"04/28/19 16:14","853 Cedar St, San Francisco, CA 94016",NULL,1700.00
176640,"Wired Headphones",2,11.99,"04/27/19 22:54","164 Lake St, San Francisco, CA 94016",NULL,23.98
